,Charity_Legal_Name,Address_Line_1,Town_City,State,Postcode,Country,Charity_Website,Advancing_Education,Promoting_or_protecting_human_rights,Advancing_social_or_public_welfare,Children,Families,Females,Financially_Disadvantaged,Males,People_at_risk_of_homelessness
0,ISCAST LTD,PO Box 40,Forest Hill,Victoria,3131,Australia,http://iscast.org,Y,,,Y,,,,,
1,Austin Medical Research Foundation,Austin & Repat Medical Centre,Heidelberg,Victoria,3084,Australia,http://www.austinmrf.org.au,,,,,,,,,
2,Braemar College Limited,1499 MOUNT MACEDON ROAD,WOODEND,VIC,3442,Australia,www.braemar.vic.edu.au,Y,,,Y,,,,,
3,Odyssey House Victoria,660 Bridge Rd,Richmond,Victoria,3121,Australia,www.odyssey.org.au/,,,,,Y,,,,
4,Alphington Grammar School,18 Old Heidelberg Road,ALPHINGTON,VIC,3078,Australia,www.alphington.vic.edu.au,Y,,,Y,Y,Y,,Y,
5,Victorian Brumby Association Inc,1861 Raglan-elmhurst Rd,Glenlogie,Victoria,3469,Australia,www.victorianbrumbyassociation.org,,,,,,,,,
6,Denzil Don Kindergarten Inc,256 Union St,Brunswick West,Victoria,3055,Australia,,Y,,,,,,,,
7,The Trustee For The Foundation For Imaging Research,"Level 36, Tower 2, Collins Square, 727 Collins Street",Docklands,VIC,3008,Australia,,,,,,,,,,
8,Mitchell House Inc,127 Vary St,Morwell,Victoria,3840,Australia,,,,,,Y,Y,,Y,
9,THE TRUSTEE FOR BRAND FOUNDATION,,,,,,,,,,Y,,,,,
10,Community Housing Limited,19-23 Prospect Street,BOX HILL,VIC,3128,AUSTRALIA,www.chl.org.au,,,,,,,,,
11,The Trustee For Community Foundation For Albury Wodonga Region,486 Olive St,Albury,NSW,2640,Australia,www.bordertrust.org.au,,,,Y,Y,,,,
12,Dolphin Common Equity Rental Housing Co-Operative Ltd,PO BOX 342,FRANKSTON,VIC,3199,AUSTRALIA,,,,,,,,,,
13,Little Company Of Mary Health Care Limited,Level 12 135 King Street,Sydney,NSW,2000,AUSTRALIA,www.calvarycare.org.au,,,,,,,,,
14,Volunteer Fire Brigades Victoria Inc,Se 9 24 Lakeside Dr,Burwood East,Victoria,3151,Australia,www.vfbv.com.au,,,,,,,,,
15,Friends Of The Helmeted Honeyeater Inc,Po Box 131,Woori Yallock,Victoria,3139,Australia,https://www.helmetedhoneyeater.org.au,,,,Y,Y,,,,
16,Nyahwest Uniting Church Council,PO Box 36,Vinifera,VIC,3591,Australia,,,,,,,,Y,,
17,Musicals Australia Ltd,17 Albert St,Caulfield North,Victoria,3161,Australia,www.musicalsaustralia.com,,,,,,Y,,Y,
18,Seventh-Day Adventist Schools (Victoria) Limited,Locked Bag 2014,Wahroonga,NSW,2076,,,Y,,,Y,,,,,
