,Region,Suburb,Housing_Type,Median Price - Last Quarter,Forecasted Price,Difference,Percentage Difference
0,Inner Melbourne,Albert Park,1 bedroom flats,340.0,346.95,6.949999999999989,2.04
1,Inner Melbourne,Middle Park,1 bedroom flats,340.0,346.95,6.949999999999989,2.04
2,Inner Melbourne,St Kilda West,1 bedroom flats,340.0,346.95,6.949999999999989,2.04
3,Inner Melbourne,Armadale,1 bedroom flats,340.0,371.09,31.08999999999997,9.14
4,Inner Melbourne,Carlton North,1 bedroom flats,320.0,345.18199999999996,25.18199999999996,7.87
5,Inner Melbourne,Carlton,1 bedroom flats,299.0,295.76,-3.240000000000009,-1.08
6,Inner Melbourne,Parkville,1 bedroom flats,299.0,295.76,-3.240000000000009,-1.08
7,Inner Melbourne,Melbourne,1 bedroom flats,364.0,350.07,-13.930000000000009,-3.83
8,Inner Melbourne,St Kilda,1 bedroom flats,364.0,350.07,-13.930000000000009,-3.83
9,Inner Melbourne,Collingwood,1 bedroom flats,385.0,382.0,-3.0,-0.78
10,Inner Melbourne,Abbotsford,1 bedroom flats,385.0,382.0,-3.0,-0.78
11,Inner Melbourne,Docklands,1 bedroom flats,400.0,Insufficient Data for Forecast,0.0,0.0
12,Inner Melbourne,East Melbourne,1 bedroom flats,395.0,352.94,-42.06,-10.65
13,Inner Melbourne,St Kilda East,1 bedroom flats,300.0,301.25,1.25,0.42
14,Inner Melbourne,Elwood,1 bedroom flats,320.0,311.96,-8.04000000000002,-2.51
15,Inner Melbourne,Fitzroy,1 bedroom flats,400.0,399.17,-0.8299999999999841,-0.21
16,Inner Melbourne,Fitzroy North,1 bedroom flats,345.0,345.42,0.4200000000000159,0.12
17,Inner Melbourne,Clifton Hill,1 bedroom flats,345.0,345.42,0.4200000000000159,0.12
18,Inner Melbourne,Flemington,1 bedroom flats,325.0,341.55,16.55000000000001,5.09
19,Inner Melbourne,Kensington,1 bedroom flats,325.0,341.55,16.55000000000001,5.09
20,Inner Melbourne,North Melbourne,1 bedroom flats,320.0,315.2,-4.800000000000011,-1.5
21,Inner Melbourne,West Melbourne,1 bedroom flats,320.0,315.2,-4.800000000000011,-1.5
22,Inner Melbourne,Port Melbourne,1 bedroom flats,425.0,416.6,-8.399999999999977,-1.98
23,Inner Melbourne,Prahran,1 bedroom flats,320.0,319.8,-0.1999999999999886,-0.06
24,Inner Melbourne,Windsor,1 bedroom flats,320.0,319.8,-0.1999999999999886,-0.06
25,Inner Melbourne,Richmond,1 bedroom flats,375.0,371.0,-4.0,-1.07
26,Inner Melbourne,Burnley,1 bedroom flats,375.0,371.0,-4.0,-1.07
27,Inner Melbourne,South Melbourne,1 bedroom flats,380.0,385.5,5.5,1.45
28,Inner Melbourne,South Yarra,1 bedroom flats,360.0,358.15,-1.8500000000000227,-0.51
29,Inner Melbourne,Southbank,1 bedroom flats,390.0,365.3,-24.69999999999999,-6.33
30,Inner Melbourne,St Kilda,1 bedroom flats,325.0,328.2,3.1999999999999886,0.98
31,Inner Melbourne,Toorak,1 bedroom flats,326.0,323.47,-2.5299999999999727,-0.78
32,Inner Eastern Melbourne,Balwyn,1 bedroom flats,355.0,Insufficient Data for Forecast,0.0,0.0
33,Inner Eastern Melbourne,Blackburn,1 bedroom flats,350.0,349.5,-0.5,-0.14
34,Inner Eastern Melbourne,Box Hill,1 bedroom flats,313.0,295.96,-17.04000000000002,-5.44
35,Inner Eastern Melbourne,Bulleen,1 bedroom flats,360.0,370.4925,10.492500000000009,2.91
36,Inner Eastern Melbourne,Templestowe,1 bedroom flats,360.0,370.4925,10.492500000000009,2.91
37,Inner Eastern Melbourne,Doncaster,1 bedroom flats,360.0,370.4925,10.492500000000009,2.91
38,Inner Eastern Melbourne,Burwood,1 bedroom flats,225.0,Insufficient Data for Forecast,0.0,0.0
39,Inner Eastern Melbourne,Ashburton,1 bedroom flats,225.0,Insufficient Data for Forecast,0.0,0.0
40,Inner Eastern Melbourne,Camberwell,1 bedroom flats,330.0,343.18,13.180000000000009,3.99
41,Inner Eastern Melbourne,Glen Iris,1 bedroom flats,330.0,343.18,13.180000000000009,3.99
42,Inner Eastern Melbourne,Canterbury,1 bedroom flats,328.0,Insufficient Data for Forecast,0.0,0.0
43,Inner Eastern Melbourne,Surrey Hills,1 bedroom flats,328.0,Insufficient Data for Forecast,0.0,0.0
44,Inner Eastern Melbourne,Mont Albert,1 bedroom flats,328.0,Insufficient Data for Forecast,0.0,0.0
45,Inner Eastern Melbourne,Chadstone,1 bedroom flats,360.0,354.53,-5.470000000000027,-1.52
46,Inner Eastern Melbourne,Oakleigh,1 bedroom flats,360.0,354.53,-5.470000000000027,-1.52
47,Inner Eastern Melbourne,Clayton,1 bedroom flats,300.0,288.69,-11.310000000000002,-3.77
48,Inner Eastern Melbourne,Doncaster East,1 bedroom flats,350.0,350.85,0.8500000000000227,0.24
49,Inner Eastern Melbourne,Donvale,1 bedroom flats,350.0,350.85,0.8500000000000227,0.24
50,Inner Eastern Melbourne,Hawthorn East,1 bedroom flats,330.0,336.75,6.75,2.05
51,Inner Eastern Melbourne,Glen Waverley,1 bedroom flats,370.0,Insufficient Data for Forecast,0.0,0.0
52,Inner Eastern Melbourne,Mulgrave,1 bedroom flats,370.0,Insufficient Data for Forecast,0.0,0.0
53,Inner Eastern Melbourne,Hawthorn,1 bedroom flats,293.0,290.66,-2.339999999999975,-0.8
54,Inner Eastern Melbourne,Kew,1 bedroom flats,360.0,333.94833333333327,-26.051666666666733,-7.24
55,Inner Eastern Melbourne,Mount Waverley,1 bedroom flats,340.0,Insufficient Data for Forecast,0.0,0.0
56,Inner Eastern Melbourne,Nunawading,1 bedroom flats,333.0,333.42666666666673,0.4266666666667333,0.13
57,Inner Eastern Melbourne,Mitcham,1 bedroom flats,333.0,333.42666666666673,0.4266666666667333,0.13
58,Inner Eastern Melbourne,Vermont,1 bedroom flats,357.0,Insufficient Data for Forecast,0.0,0.0
59,Inner Eastern Melbourne,Forest Hill,1 bedroom flats,357.0,Insufficient Data for Forecast,0.0,0.0
60,Inner Eastern Melbourne,Burwood East,1 bedroom flats,357.0,Insufficient Data for Forecast,0.0,0.0
61,Southern Melbourne,Aspendale,1 bedroom flats,300.0,291.66,-8.339999999999975,-2.78
62,Southern Melbourne,Chelsea,1 bedroom flats,300.0,291.66,-8.339999999999975,-2.78
63,Southern Melbourne,Carrum,1 bedroom flats,300.0,291.66,-8.339999999999975,-2.78
64,Southern Melbourne,Bentleigh,1 bedroom flats,315.0,316.75,1.75,0.56
65,Southern Melbourne,Brighton,1 bedroom flats,380.0,400.16666666666674,20.166666666666742,5.31
66,Southern Melbourne,Brighton East,1 bedroom flats,,Insufficient Data for Forecast,0.0,
67,Southern Melbourne,Carnegie,1 bedroom flats,295.0,294.65,-0.3500000000000227,-0.12
68,Southern Melbourne,Caulfield,1 bedroom flats,295.0,298.55,3.550000000000012,1.2
69,Southern Melbourne,Cheltenham,1 bedroom flats,350.0,350.0,0.0,0.0
70,Southern Melbourne,Elsternwick,1 bedroom flats,320.0,321.79,1.7900000000000205,0.56
71,Southern Melbourne,Hampton,1 bedroom flats,360.0,358.65,-1.3500000000000227,-0.38
72,Southern Melbourne,Beaumaris,1 bedroom flats,360.0,358.65,-1.3500000000000227,-0.38
73,Southern Melbourne,Malvern,1 bedroom flats,330.0,322.15,-7.850000000000023,-2.38
74,Southern Melbourne,Malvern East,1 bedroom flats,275.0,313.005,38.005,13.82
75,Southern Melbourne,Mentone,1 bedroom flats,315.0,309.2975,-5.702499999999986,-1.81
76,Southern Melbourne,Parkdale,1 bedroom flats,315.0,309.2975,-5.702499999999986,-1.81
77,Southern Melbourne,Mordialloc,1 bedroom flats,315.0,309.2975,-5.702499999999986,-1.81
78,Southern Melbourne,Murrumbeena,1 bedroom flats,295.0,290.1,-4.899999999999977,-1.66
79,Southern Melbourne,Hughesdale,1 bedroom flats,295.0,290.1,-4.899999999999977,-1.66
80,Outer Western Melbourne,Altona,1 bedroom flats,285.0,286.9,1.8999999999999773,0.67
81,Outer Western Melbourne,Footscray,1 bedroom flats,300.0,299.92,-0.079999999999984,-0.03
82,Outer Western Melbourne,Keilor East,1 bedroom flats,335.0,335.65,0.6499999999999773,0.19
83,Outer Western Melbourne,Avondale Heights,1 bedroom flats,335.0,335.65,0.6499999999999773,0.19
84,Outer Western Melbourne,Melton,1 bedroom flats,320.0,Insufficient Data for Forecast,0.0,0.0
85,Outer Western Melbourne,Newport,1 bedroom flats,310.0,304.73,-5.269999999999982,-1.7
86,Outer Western Melbourne,Spotswood,1 bedroom flats,310.0,304.73,-5.269999999999982,-1.7
87,Outer Western Melbourne,St Albans,1 bedroom flats,283.0,278.98,-4.019999999999982,-1.42
88,Outer Western Melbourne,Deer Park,1 bedroom flats,283.0,278.98,-4.019999999999982,-1.42
89,Outer Western Melbourne,Sunshine,1 bedroom flats,250.0,243.25,-6.75,-2.7
90,Outer Western Melbourne,Sydenham,1 bedroom flats,340.0,Insufficient Data for Forecast,0.0,0.0
91,Outer Western Melbourne,Werribee,1 bedroom flats,295.0,294.02,-0.9800000000000182,-0.33
92,Outer Western Melbourne,Hoppers Crossing,1 bedroom flats,295.0,294.02,-0.9800000000000182,-0.33
93,Outer Western Melbourne,West Footscray,1 bedroom flats,250.0,260.8258333333334,10.825833333333378,4.33
94,Outer Western Melbourne,Williamstown,1 bedroom flats,348.0,340.14,-7.860000000000014,-2.26
95,Outer Western Melbourne,Yarraville,1 bedroom flats,295.0,294.93,-0.0699999999999931,-0.02
96,Outer Western Melbourne,Seddon,1 bedroom flats,295.0,294.93,-0.0699999999999931,-0.02
97,North Western Melbourne,Broadmeadows,1 bedroom flats,280.0,256.91,-23.08999999999997,-8.25
98,North Western Melbourne,Roxburgh Park,1 bedroom flats,280.0,256.91,-23.08999999999997,-8.25
99,North Western Melbourne,Brunswick,1 bedroom flats,330.0,343.8,13.800000000000011,4.18
100,North Western Melbourne,Coburg,1 bedroom flats,315.0,318.1,3.1000000000000227,0.98
101,North Western Melbourne,Pascoe Vale South,1 bedroom flats,315.0,318.1,3.1000000000000227,0.98
102,North Western Melbourne,Craigieburn,1 bedroom flats,320.0,Insufficient Data for Forecast,0.0,0.0
103,North Western Melbourne,Brunswick East,1 bedroom flats,360.0,357.81333333333333,-2.1866666666666674,-0.61
104,North Western Melbourne,Essendon,1 bedroom flats,315.0,315.45,0.4499999999999886,0.14
105,North Western Melbourne,Gladstone Park,1 bedroom flats,285.0,Insufficient Data for Forecast,0.0,0.0
106,North Western Melbourne,Tullamarine,1 bedroom flats,285.0,Insufficient Data for Forecast,0.0,0.0
107,North Western Melbourne,Keilor,1 bedroom flats,,Insufficient Data for Forecast,0.0,
108,North Western Melbourne,Moonee Ponds,1 bedroom flats,330.0,330.64,0.6399999999999864,0.19
109,North Western Melbourne,Ascot Vale,1 bedroom flats,330.0,330.64,0.6399999999999864,0.19
110,North Western Melbourne,Oak Park,1 bedroom flats,280.0,282.096,2.096000000000004,0.75
111,North Western Melbourne,Glenroy,1 bedroom flats,280.0,282.096,2.096000000000004,0.75
112,North Western Melbourne,Fawkner,1 bedroom flats,280.0,282.096,2.096000000000004,0.75
113,North Western Melbourne,Pascoe Vale,1 bedroom flats,230.0,269.6946309523809,39.69463095238092,17.26
114,North Western Melbourne,Coburg North,1 bedroom flats,230.0,269.6946309523809,39.69463095238092,17.26
115,North Western Melbourne,Sunbury,1 bedroom flats,265.0,Insufficient Data for Forecast,0.0,0.0
116,North Western Melbourne,Brunswick West,1 bedroom flats,295.0,298.1,3.1000000000000227,1.05
117,North Eastern Melbourne,Bundoora,1 bedroom flats,300.0,300.0,0.0,0.0
118,North Eastern Melbourne,Greensborough,1 bedroom flats,300.0,300.0,0.0,0.0
119,North Eastern Melbourne,Hurstbridge,1 bedroom flats,300.0,300.0,0.0,0.0
120,North Eastern Melbourne,Eltham,1 bedroom flats,300.0,328.4,28.399999999999977,9.47
121,North Eastern Melbourne,Research,1 bedroom flats,300.0,328.4,28.399999999999977,9.47
122,North Eastern Melbourne,Montmorency,1 bedroom flats,300.0,328.4,28.399999999999977,9.47
123,North Eastern Melbourne,Fairfield,1 bedroom flats,290.0,301.35,11.350000000000025,3.91
124,North Eastern Melbourne,Alphington,1 bedroom flats,290.0,301.35,11.350000000000025,3.91
125,North Eastern Melbourne,Heidelberg,1 bedroom flats,340.0,339.63,-0.3700000000000045,-0.11
126,North Eastern Melbourne,Heidelberg West,1 bedroom flats,340.0,339.63,-0.3700000000000045,-0.11
127,North Eastern Melbourne,Ivanhoe,1 bedroom flats,350.0,352.4,2.3999999999999773,0.69
128,North Eastern Melbourne,Ivanhoe East,1 bedroom flats,350.0,352.4,2.3999999999999773,0.69
129,North Eastern Melbourne,Mill Park,1 bedroom flats,300.0,Insufficient Data for Forecast,0.0,0.0
130,North Eastern Melbourne,Epping,1 bedroom flats,300.0,Insufficient Data for Forecast,0.0,0.0
131,North Eastern Melbourne,Northcote,1 bedroom flats,320.0,317.71666666666664,-2.28333333333336,-0.71
132,North Eastern Melbourne,Preston,1 bedroom flats,320.0,328.93,8.930000000000007,2.79
133,North Eastern Melbourne,Reservoir,1 bedroom flats,305.0,311.3,6.300000000000011,2.07
134,North Eastern Melbourne,Thomastown,1 bedroom flats,300.0,Insufficient Data for Forecast,0.0,0.0
135,North Eastern Melbourne,Lalor,1 bedroom flats,300.0,Insufficient Data for Forecast,0.0,0.0
136,North Eastern Melbourne,Thornbury,1 bedroom flats,295.0,294.10833333333335,-0.8916666666666515,-0.3
137,North Eastern Melbourne,Whittlesea,1 bedroom flats,300.0,Insufficient Data for Forecast,0.0,0.0
138,Outer Eastern Melbourne,Bayswater,1 bedroom flats,310.0,Insufficient Data for Forecast,0.0,0.0
139,Outer Eastern Melbourne,Boronia,1 bedroom flats,330.0,330.08,0.079999999999984,0.02
140,Outer Eastern Melbourne,Croydon,1 bedroom flats,320.0,317.3,-2.6999999999999886,-0.84
141,Outer Eastern Melbourne,Lilydale,1 bedroom flats,320.0,317.3,-2.6999999999999886,-0.84
142,Outer Eastern Melbourne,Ferntree Gully,1 bedroom flats,,Insufficient Data for Forecast,0.0,
143,Outer Eastern Melbourne,Ringwood,1 bedroom flats,350.0,347.06,-2.9399999999999977,-0.84
144,Outer Eastern Melbourne,Rowville,1 bedroom flats,,Insufficient Data for Forecast,0.0,
145,Outer Eastern Melbourne,Wantirna,1 bedroom flats,350.0,Insufficient Data for Forecast,0.0,0.0
146,Outer Eastern Melbourne,Scoresby,1 bedroom flats,350.0,Insufficient Data for Forecast,0.0,0.0
147,Outer Eastern Melbourne,Healesville,1 bedroom flats,305.0,300.65,-4.350000000000023,-1.43
148,Outer Eastern Melbourne,Yarra Junction,1 bedroom flats,305.0,300.65,-4.350000000000023,-1.43
149,Outer Eastern Melbourne,Belgrave,1 bedroom flats,305.0,300.65,-4.350000000000023,-1.43
150,Outer Eastern Melbourne,Belgrave Heights,1 bedroom flats,305.0,300.65,-4.350000000000023,-1.43
151,Outer Eastern Melbourne,Belgrave South,1 bedroom flats,305.0,300.65,-4.350000000000023,-1.43
152,Outer Eastern Melbourne,Lilydale,1 bedroom flats,305.0,300.65,-4.350000000000023,-1.43
153,Outer Eastern Melbourne,Warburton,1 bedroom flats,305.0,300.65,-4.350000000000023,-1.43
154,Outer Eastern Melbourne,East Warburton,1 bedroom flats,305.0,300.65,-4.350000000000023,-1.43
155,South Eastern Melbourne,Berwick,1 bedroom flats,310.0,Insufficient Data for Forecast,0.0,0.0
156,South Eastern Melbourne,Cranbourne,1 bedroom flats,300.0,Insufficient Data for Forecast,0.0,0.0
157,South Eastern Melbourne,Dandenong,1 bedroom flats,270.0,269.45,-0.5500000000000114,-0.2
158,South Eastern Melbourne,Dandenong North,1 bedroom flats,278.0,Insufficient Data for Forecast,0.0,0.0
159,South Eastern Melbourne,Endeavour Hills,1 bedroom flats,278.0,Insufficient Data for Forecast,0.0,0.0
160,South Eastern Melbourne,Narre Warren,1 bedroom flats,320.0,Insufficient Data for Forecast,0.0,0.0
161,South Eastern Melbourne,Hampton Park,1 bedroom flats,320.0,Insufficient Data for Forecast,0.0,0.0
162,South Eastern Melbourne,Noble Park,1 bedroom flats,260.0,253.65,-6.349999999999994,-2.44
163,South Eastern Melbourne,Pakenham,1 bedroom flats,275.0,Insufficient Data for Forecast,0.0,0.0
164,South Eastern Melbourne,Springvale,1 bedroom flats,275.0,265.98,-9.019999999999982,-3.28
165,Mornington Peninsula,Dromana,1 bedroom flats,335.0,259.7,-75.30000000000001,-22.48
166,Mornington Peninsula,Portsea,1 bedroom flats,335.0,259.7,-75.30000000000001,-22.48
167,Mornington Peninsula,Frankston,1 bedroom flats,265.0,259.83,-5.170000000000016,-1.95
168,Mornington Peninsula,Hastings,1 bedroom flats,,Insufficient Data for Forecast,0.0,
169,Mornington Peninsula,Flinders,1 bedroom flats,,Insufficient Data for Forecast,0.0,
170,Mornington Peninsula,Mount Eliza,1 bedroom flats,330.0,Insufficient Data for Forecast,0.0,0.0
171,Mornington Peninsula,Mornington,1 bedroom flats,330.0,Insufficient Data for Forecast,0.0,0.0
172,Mornington Peninsula,Mount Martha,1 bedroom flats,330.0,Insufficient Data for Forecast,0.0,0.0
173,Mornington Peninsula,Seaford,1 bedroom flats,280.0,255.1,-24.90000000000001,-8.89
174,Mornington Peninsula,Carrum Downs,1 bedroom flats,280.0,255.1,-24.90000000000001,-8.89
175,Geelong,Belmont,1 bedroom flats,290.0,269.525,-20.475000000000023,-7.06
176,Geelong,Grovedale,1 bedroom flats,290.0,269.525,-20.475000000000023,-7.06
177,Geelong,Corio,1 bedroom flats,250.0,243.83880952380957,-6.161190476190427,-2.46
178,Geelong,Geelong,1 bedroom flats,320.0,293.9,-26.100000000000023,-8.16
179,Geelong,Newcomb,1 bedroom flats,320.0,293.9,-26.100000000000023,-8.16
180,Geelong,Herne Hill,1 bedroom flats,275.0,268.2,-6.800000000000011,-2.47
181,Geelong,Geelong West,1 bedroom flats,275.0,268.2,-6.800000000000011,-2.47
182,Geelong,Lara,1 bedroom flats,,Insufficient Data for Forecast,0.0,
183,Geelong,Newtown,1 bedroom flats,285.0,278.62,-6.379999999999996,-2.24
184,Geelong,North Geelong,1 bedroom flats,250.0,248.3,-1.6999999999999886,-0.68
185,Ballarat,Ballarat Central,1 bedroom flats,220.0,216.94,-3.0600000000000023,-1.39
186,Ballarat,Mount Clear,1 bedroom flats,,Insufficient Data for Forecast,0.0,
187,Ballarat,Buninyong,1 bedroom flats,,Insufficient Data for Forecast,0.0,
